One Piece - Édition originale - Tome 08: Je ne mourrai pas !,7.99,,978-2723489959,https://m.media-amazon.com/images/I/91cn+T+feUL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Solo Leveling T01,14.95,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée entre les griffes des monstres qu'ils ont apportés avec eux. Dans le même temps, certaines personnes ont développé des capacités permettant de chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382880296,https://m.media-amazon.com/images/I/71bRU7hJB0L._SY522_.jpg,Kbooks; Illustrated édition (7 avril 2021),Chugong
Tokyo Revengers - Tome 30,7.99,,978-2344058671,https://m.media-amazon.com/images/I/817ZKDD4M0L._SY522_.jpg,Glénat Manga; Illustrated édition (15 mai 2024),Ken Wakui
Solo Leveling T06,7.99,,978-2382880791,https://m.media-amazon.com/images/I/71EdH0QeenL._SY522_.jpg,Kbooks; Illustrated édition (4 mai 2022),Dubu (Redice Studio)
Solo Leveling T03,7.99,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382880319,https://m.media-amazon.com/images/I/71FFOKVYFIS._SY522_.jpg,Kbooks; Illustrated édition (8 septembre 2021),Chugong
"One Piece - Édition originale - Tome 10: OK, Let's STAND UP !",6.99,,978-2723492553,https://m.media-amazon.com/images/I/91BBAVsHXcL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Édition originale - Tome 09: Larmes,6.99,,978-2723492539,https://m.media-amazon.com/images/I/918nv+d1nhL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
Jujutsu Kaisen T23,7.99,Engloutir les ténèbres pour mieux les combattre !,979-1032716229,https://m.media-amazon.com/images/I/71LTKHI13ML._SY522_.jpg,Ki-oon; Illustrated édition (4 avril 2024),Gege Akutami
Solo Leveling T02,14.95,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382880302,https://m.media-amazon.com/images/I/81CMi5bebML._SY522_.jpg,Kbooks; Illustrated édition (9 juin 2021),Chugong
Solo Leveling T05,7.99,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382880333,https://m.media-amazon.com/images/I/91D4L4xEdLL._SY522_.jpg,Kbooks; Illustrated édition (9 février 2022),Chugong
